day,co2_ppm
11,469
11,463
11,464
11,454
11,451
11,453
11,454
11,448
11,437
11,430
11,430
11,431
11,433
11,433
11,429
11,426
11,432
11,428
11,426
11,427
11,428
11,425
11,425
11,424
11,423
11,422
11,423
11,425
11,425
11,440
11,442
11,438
11,436
11,439
11,440
11,447
11,458
11,463
11,474
11,485
11,486
11,481
11,477
11,480
11,486
11,489
11,493
11,496
11,487
11,475
11,468
11,470
11,466
11,444
11,437
11,438
11,431
11,431
11,432
11,430
11,423
11,425
11,431
11,429
11,427
11,439
11,427
11,425
11,422
11,421
11,426
11,420
11,421
11,422
11,417
11,419
11,418
11,417
11,420
11,416
11,421
11,418
11,416
11,413
11,451
11,453
11,453
11,452
11,450
11,449
11,473
11,466
11,450
11,438
11,438
11,438
11,439
11,443
11,451
11,454
11,455
11,453
11,450
11,451
11,449
11,454
11,459
11,457
11,450
11,449
11,446
11,451
11,449
11,453
11,457
11,465
11,470
11,470
11,473
11,474
11,490
11,479
11,460
11,458
11,462
11,466
11,464
11,468
11,470
11,465
11,464
11,467
11,473
11,478
11,487
11,489
11,496
11,483
11,479
11,476
11,478
11,473
11,469
11,463
11,464
11,454
11,451
11,453
11,454
11,448
11,437
11,430
11,430
11,431
11,433
11,433
11,429
11,426
11,432
11,428
11,426
11,427
11,428
11,425
11,425
11,424
11,423
11,422
11,423
11,425
11,425
11,440
11,442
11,438
11,436
11,439
11,440
11,447
11,458
11,463
11,474
11,485
11,486
11,481
11,477
11,480
11,486
11,489
11,493
11,496
11,487
11,475
11,468
11,470
11,466
11,444
11,437
11,438
11,431
11,431
11,432
11,430
11,423
11,425
11,431
11,429
11,427
11,439
11,427
11,425
11,422
11,421
11,426
11,420
11,421
11,422
11,417
11,419
11,418
11,417
11,420
11,416
11,421
11,418
11,416
11,413
12,413
12,411
12,410
12,410
12,410
12,411
12,411
12,411
12,414
12,411
12,411
12,411
12,411
12,415
12,413
12,413
12,415
12,414
12,416
12,413
12,413
12,411
12,415
12,414
12,414
12,412
12,412
12,411
12,409
12,408
12,409
12,409
12,409
12,408
12,407
12,407
12,408
12,408
12,408
12,408
12,406
12,406
12,407
12,408
12,406
12,407
12,406
12,410
12,410
12,409
12,412
12,413
12,411
12,415
12,413
12,412
12,413
12,412
12,410
12,413
12,413
12,413
12,412
12,411
12,410
12,410
12,412
12,410
12,409
12,410
12,413
12,410
12,411
12,409
12,412
12,408
12,411
12,410
12,411
12,410
12,412
12,411
12,413
12,411
12,411
12,412
12,414
12,415
12,413
12,410
12,412
12,409
12,410
12,413
12,411
12,411
12,413
12,413
12,411
12,410
12,410
12,410
12,411
12,411
12,411
12,414
12,411
12,411
12,411
12,411
12,415
12,413
12,413
12,415
12,414
12,416
12,413
12,413
12,411
12,415
12,414
12,414
12,412
12,412
12,411
12,409
12,408
12,409
12,409
12,409
12,408
12,407
12,407
12,408
12,408
12,408
12,408
12,406
12,406
12,407
12,408
12,406
12,407
12,406
12,410
12,410
12,409
12,412
12,413
12,411
12,415
12,413
12,412
12,413
12,412
12,410
12,413
12,413
12,413
12,412
12,411
12,410
12,410
12,412
12,410
12,409
12,410
12,413
12,410
12,411
12,409
12,412
12,408
12,411
12,410
12,411
12,410
12,412
12,411
12,413
12,411
12,411
12,412
12,414
12,415
12,413
12,410
12,412
12,409
12,410
12,413
12,411
12,411
12,413
13,409
13,411
13,410
13,412
13,413
13,411
13,411
13,411
13,411
13,410
13,410
13,411
13,413
13,411
13,412
13,410
13,412
13,412
13,411
13,412
13,409
13,410
13,412
13,411
13,411
13,410
13,410
13,411
13,407
13,408
13,411
13,412
13,413
13,415
13,413
13,416
13,418
13,427
13,422
13,423
13,424
13,428
13,427
13,424
13,422
13,426
13,429
13,429
13,424
13,430
13,429
13,424
13,424
13,418
13,419
13,420
13,420
13,417
13,419
13,416
13,417
13,414
13,422
13,417
13,417
13,415
13,414
13,413
13,415
13,413
13,413
13,415
13,420
13,419
13,420
13,459
13,461
13,427
13,420
13,424
13,419
13,418
13,416
13,418
13,422
13,418
13,419
13,420
13,422
13,419
13,424
13,425
13,424
13,426
13,435
13,431
13,431
13,434
13,431
13,430
13,426
13,425
13,422
13,423
13,423
13,428
13,429
13,429
13,431
13,429
13,434
13,436
13,439
13,439
13,441
13,441
13,437
13,436
13,443
13,440
13,439
13,441
13,440
13,446
13,444
13,444
13,445
13,440
13,443
13,447
13,447
13,446
13,443
13,439
13,438
13,433
13,433
13,433
13,432
13,434
13,438
13,433
13,433
13,435
13,409
13,411
13,410
13,412
13,413
13,411
13,411
13,411
13,411
13,410
13,410
13,411
13,413
13,411
13,412
13,410
13,412
13,412
13,411
13,412
13,409
13,410
13,412
13,411
13,411
13,410
13,410
13,411
13,407
13,408
13,411
13,412
13,413
13,415
13,413
13,416
13,418
13,427
13,422
13,423
13,424
13,428
13,427
13,424
13,422
13,426
13,429
13,429
13,424
13,430
13,429
13,424
13,424
13,418
13,419
13,420
13,420
13,417
13,419
13,416
13,417
13,414
13,422
13,417
13,417
13,415
13,414
13,413
13,415
13,413
13,413
13,415
13,420
13,419
13,420
13,459
13,461
13,427
13,420
13,424
13,419
13,418
13,416
13,418
13,422
13,418
13,419
13,420
13,422
13,419
13,424
13,425
13,424
13,426
13,435
13,431
13,431
13,434
13,431
13,430
13,426
13,425
13,422
13,423
13,423
13,428
13,429
13,429
13,431
13,429
13,434
13,436
13,439
13,439
13,441
13,441
13,437
13,436
13,443
13,440
13,439
13,441
13,440
13,446
13,444
13,444
13,445
13,440
13,443
13,447
13,447
13,446
13,443
13,439
13,438
13,433
13,433
13,433
13,432
13,434
13,438
13,433
13,433
13,435
14,434
14,433
14,433
14,431
14,431
14,431
14,431
14,430
14,430
14,431
14,430
14,428
14,429
14,430
14,430
14,430
14,431
14,430
14,431
14,431
14,432
14,430
14,430
14,431
14,430
14,433
14,430
14,430
14,430
14,431
14,438
14,435
14,431
14,430
14,431
14,434
14,434
14,438
14,442
14,439
14,439
14,438
14,448
14,450
14,455
14,450
14,448
14,455
14,460
14,457
14,449
14,447
14,448
14,448
14,450
14,450
14,445
14,444
14,445
14,444
14,443
14,440
14,442
14,454
14,466
14,457
14,451
14,445
14,452
14,449
14,455
14,454
14,454
14,456
14,449
14,448
14,443
14,445
14,446
14,448
14,450
14,448
14,445
14,442
14,436
14,436
14,435
14,439
14,456
14,454
14,451
14,455
14,465
14,464
14,464
14,467
14,465
14,470
14,477
14,485
14,487
14,489
14,488
14,479
14,475
14,468
14,461
14,459
14,458
14,474
14,481
14,475
14,471
14,470
14,475
14,471
14,455
14,447
14,447
14,450
14,445
14,445
14,446
14,454
14,454
14,455
14,447
14,449
14,445
14,447
14,439
14,441
14,441
14,439
14,437
14,436
14,435
14,435
14,435
14,432
14,435
14,440
14,436
14,435
14,434
14,433
14,433
14,431
14,431
14,431
14,431
14,430
14,430
14,431
14,430
14,428
14,429
14,430
14,430
14,430
14,431
14,430
14,431
14,431
14,432
14,430
14,430
14,431
14,430
14,433
14,430
14,430
14,430
14,431
14,438
14,435
14,431
14,430
14,431
14,434
14,434
14,438
14,442
14,439
14,439
14,438
14,448
14,450
14,455
14,450
14,448
14,455
14,460
14,457
14,449
14,447
14,448
14,448
14,450
14,450
14,445
14,444
14,445
14,444
14,443
14,440
14,442
14,454
14,466
14,457
14,451
14,445
14,452
14,449
14,455
14,454
14,454
14,456
14,449
14,448
14,443
14,445
14,446
14,448
14,450
14,448
14,445
14,442
14,436
14,436
14,435
14,439
14,456
14,454
14,451
14,455
14,465
14,464
14,464
14,467
14,465
14,470
14,477
14,485
14,487
14,489
14,488
14,479
14,475
14,468
14,461
14,459
14,458
14,474
14,481
14,475
14,471
14,470
14,475
14,471
14,455
14,447
14,447
14,450
14,445
14,445
14,446
14,454
14,454
14,455
14,447
