day,co2_ppm
Sat,446
Sat,452
Sat,450
Sat,439
Sat,439
Sat,443
Sat,499
Sat,476
Sat,471
Sat,470
Sat,465
Sat,460
Sat,472
Sat,476
Sat,469
Sat,475
Sat,474
Sat,470
Sat,476
Sat,481
Sat,474
Sat,484
Sat,492
Sat,490
Sat,477
Sat,470
Sat,470
Sat,466
Sat,466
Sat,471
Sat,481
Sat,478
Sat,472
Sat,462
Sat,463
Sat,462
Sat,457
Sat,456
Sat,461
Sat,461
Sat,463
Sat,468
Sat,478
Sat,478
Sat,486
Sat,477
Sat,468
Sat,453
Sat,439
Sat,435
Sat,433
Sat,433
Sat,433
Sat,432
Sat,428
Sat,428
Sat,427
Sat,425
Sat,423
Sat,423
Sat,420
Sat,420
Sat,422
Sat,419
Sat,419
Sat,419
Sat,418
Sat,419
Sat,419
Sat,422
Sat,422
Sat,422
Sat,421
Sat,420
Sat,420
Sat,420
Sat,422
Sat,423
Sat,423
Sat,424
Sat,423
Sat,422
Sat,423
Sat,423
Sat,424
Sat,424
Sat,423
Sat,422
Sat,424
Sat,424
Sat,423
Sat,424
Sat,423
Sat,426
Sat,424
Sat,427
Sat,428
Sat,428
Sat,424
Sat,423
Sat,424
Sat,422
Sat,427
Sat,430
Sat,434
Sat,438
Sat,439
Sat,425
Sat,427
Sat,428
Sat,431
Sat,433
Sat,436
Sat,435
Sat,433
Sat,432
Sat,432
Sat,435
Sat,434
Sat,436
Sat,436
Sat,447
Sat,449
Sat,445
Sat,446
Sat,452
Sat,450
Sat,439
Sat,439
Sat,443
Sat,450
Sat,456
Sat,474
Sat,477
Sat,480
Sat,484
Sat,492
Sat,496
Sat,506
Sat,513
Sat,515
Sat,506
Sat,483
Sat,468
Sat,459
Sat,458
Sat,455
Sat,461
Sat,467
Sat,477
Sun,483
Sun,486
Sun,493
Sun,486
Sun,483
Sun,481
Sun,486
Sun,492
Sun,497
Sun,492
Sun,489
Sun,494
Sun,458
Sun,447
Sun,449
Sun,450
Sun,455
Sun,454
Sun,456
Sun,455
Sun,447
Sun,448
Sun,447
Sun,447
Sun,447
Sun,447
Sun,447
Sun,447
Sun,447
Sun,447
Sun,447
Sun,447
Sun,447
Sun,447
Sun,447
Sun,447
Sun,447
Sun,447
Sun,447
Sun,447
Sun,447
Sun,447
Sun,447
Sun,447
Sun,447
Sun,447
Sun,447
Sun,447
Sun,447
Sun,447
Sun,447
Sun,447
Sun,447
Sun,447
Sun,447
Sun,447
Sun,447
Sun,447
Sun,447
Sun,447
Sun,447
Sun,447
Sun,447
Sun,447
Sun,447
Sun,447
Sun,447
Sun,447
Sun,447
Sun,447
Sun,447
Sun,426
Sun,426
Sun,426
Sun,426
Sun,426
Sun,426
Sun,426
Sun,426
Sun,426
Sun,426
Sun,440
Sun,430
Sun,435
Sun,433
Sun,436
Sun,441
Sun,434
Sun,434
Sun,434
Sun,434
Sun,434
Sun,434
Sun,434
Sun,434
Sun,434
Sun,434
Sun,434
Sun,434
Sun,434
Sun,434
Sun,434
Sun,434
Sun,434
Sun,434
Sun,434
Sun,434
Sun,434
Sun,434
Sun,434
Sun,434
Sun,434
Sun,434
Sun,434
Sun,434
Sun,434
Sun,434
Sun,434
Sun,434
Sun,434
Sun,434
Sun,434
Sun,434
Sun,434
Sun,434
Sun,434
Sun,434
Sun,434
Sun,434
Sun,434
Sun,434
Sun,434
Sun,434
Sun,434
Sun,434
Sun,434
Sun,434
Sun,434
Sun,434
Sun,434
Sun,434
Sun,434
Sun,434
Sun,434
Sun,434
Sun,434
Sun,434
Sun,434
Sun,434
Sun,434
Sun,434
Sun,434
Sun,434
Sun,434
Sun,434
Sun,434
Sun,434
Sun,434
Sun,434
